alarm_id,device_id,start_timestamp,end_timestamp
11,26,41,41
39,18,41,41
55,26,44,44
28,26,48,48
45,36,48,48
25,18,53,53
5,14,73,73
34,2,121,121
40,16,125,125
48,17,125,125
18,13,151,151
45,33,158,158
18,21,160,160
45,17,161,161
52,33,255,255
47,19,258,258
56,30,269,269
4,15,647,647
2,28,988,988
37,26,1059,1059
11,21,1244,1244
2,36,1266,1266
18,26,1542,1542
37,6,1841,1841
50,7,1864,1864
33,6,1866,1866
25,15,1979,1979
17,22,2009,2009
57,30,2011,2011
11,27,2015,2015
24,16,2015,2015
26,30,2015,2015
30,39,2017,2017
24,12,2017,2017
26,5,2018,2018
29,16,2019,2019
27,6,2019,2019
21,7,2020,2020
1,21,2250,2250
59,25,2334,2334
27,32,2390,2390
35,19,2491,2491
27,9,2493,2493
20,10,2540,2540
3,14,3012,3012
16,0,3012,3012
56,20,3020,3020
3,0,3028,3028
1,2,3030,3030
32,27,3032,3032
47,32,3032,3032
32,14,3034,3034
53,20,3037,3037
27,27,3039,3039
32,2,3039,3039
1,28,3041,3041
32,8,3042,3042
40,20,3045,3045
33,14,3045,3045
0,32,3046,3046
45,29,3046,3046
32,8,3047,3047
0,9,3047,3047
1,24,3047,3047
48,14,3048,3048
44,29,3048,3048
24,22,3049,3049
51,14,3049,3049
0,22,3049,3049
57,0,3050,3050
20,10,3051,3051
0,30,3052,3052
51,14,3052,3052
28,0,3053,3053
59,28,3053,3053
38,29,3054,3054
1,13,3055,3055
48,29,3056,3056
27,29,3056,3056
37,15,3056,3056
37,8,3056,3056
37,15,3056,3056
19,4,3056,3056
45,3,3056,3056
24,20,3057,3057
27,28,3057,3057
47,31,3058,3058
37,22,3058,3058
56,0,3059,3059
14,10,3059,3059
24,38,3063,3063
47,31,3063,3063
53,23,3064,3064
2,8,3064,3064
2,2,3065,3065
18,13,3067,3067
0,22,3067,3067
23,38,3068,3068
24,23,3071,3071
27,12,3073,3073
44,39,3077,3077
47,0,3082,3082
53,14,3085,3085
20,5,3166,3166
19,9,3173,3173
10,4,3247,3247
6,0,3317,3317
23,24,3321,3321
49,2,3323,3323
23,24,3323,3323
47,13,3324,3324
30,28,3324,3324
15,8,3324,3324
21,23,3325,3325
10,16,3326,3326
10,9,3326,3326
21,2,3326,3326
12,22,3326,3326
51,16,3327,3327
46,28,3328,3328
9,16,3329,3329
