alarm_id,device_id,start_timestamp,end_timestamp
18,2,351,351
10,31,879,879
3,16,1109,1109
16,2,1116,1116
9,35,1292,1292
15,11,1298,1298
26,24,1320,1320
21,24,1320,1320
0,4,1346,1346
0,28,1352,1352
0,24,1385,1385
20,24,1385,1385
20,10,1388,1388
0,2,1473,1473
24,5,1550,1550
25,25,2102,2102
13,19,2574,2574
1,10,2672,2672
26,34,2680,2680
29,24,2686,2686
25,18,3013,3013
4,4,3121,3121
19,39,3371,3371
1,9,3780,3780
26,3,3790,3790
8,37,3927,3927
16,9,3932,3932
16,37,3942,3942
24,30,4699,4699
22,30,5167,5167
17,33,5200,5200
22,8,5466,5466
27,10,5556,5556
11,36,6534,6534
20,38,6539,6539
6,11,6615,6615
23,6,6685,6685
9,19,7256,7256
24,33,7264,7264
28,11,7743,7743
1,4,8341,8341
14,11,8748,8748
22,24,8760,8760
12,11,8777,8777
7,3,8780,8780
5,11,8784,8784
25,8,8831,8831
13,12,8833,8833
9,10,9176,9176
8,0,9180,9180
16,14,9184,9184
26,14,9191,9191
8,0,9194,9194
24,0,9200,9200
26,27,9200,9200
0,29,9216,9216
0,30,9226,9226
12,1,9461,9461
3,0,9584,9584
26,27,9594,9594
17,11,9619,9619
1,0,9814,9814
28,21,10020,10020
25,2,10054,10054
17,39,10061,10061
12,39,10066,10066
18,32,10120,10120
14,12,10219,10219
25,7,10221,10221
25,17,10226,10226
13,18,10228,10228
20,30,10228,10228
3,15,10229,10229
29,25,10230,10230
8,20,10233,10233
0,25,10234,10234
26,13,10242,10242
5,38,10322,10322
22,30,10642,10642
19,31,10665,10665
7,16,10668,10668
12,22,10678,10678
26,21,10679,10679
7,8,10683,10683
7,17,10684,10684
7,4,10685,10685
7,22,10690,10690
7,30,10694,10694
5,33,10700,10700
12,2,11047,11047
1,27,11182,11182
7,27,11192,11192
22,0,11198,11198
13,29,11202,11202
1,13,11304,11304
4,0,11386,11386
21,9,11719,11719
11,22,11871,11871
19,14,11979,11979
3,2,11995,11995
20,2,11995,11995
24,0,11998,11998
5,15,12014,12014
9,17,12289,12289
24,17,12293,12293
26,17,12297,12297
10,34,12298,12298
12,30,12302,12302
29,34,12302,12302
21,21,12305,12305
29,27,12315,12315
5,33,12319,12319
29,18,12324,12324
8,16,12638,12638
21,34,12834,12834
11,33,12917,12917
20,17,12928,12928
4,29,12930,12930
23,29,12931,12931
20,22,12932,12932
21,30,12933,12933
29,22,12936,12936
21,3,12943,12943
20,3,12949,12949
21,8,12949,12949
17,3,12954,12954
0,33,12955,12955
20,38,12967,12967
26,14,12968,12968
17,38,12969,12969
21,29,12969,12969
2,25,13149,13149
7,33,13153,13153
13,25,13165,13165
5,37,13385,13385
23,16,13475,13475
21,2,13491,13491
10,21,13496,13496
0,16,13496,13496
17,28,13566,13566
10,9,13624,13624
5,18,13696,13696
7,10,13810,13810
15,34,14122,14122
5,31,14521,14521
17,26,14595,14595
20,5,14707,14707
26,6,14707,14707
28,19,14780,14780
19,16,14783,14783
6,10,14784,14784
9,3,14978,14978
0,32,14984,14984
16,3,14986,14986
15,24,14990,14990
18,29,14994,14994
11,38,15000,15000
23,5,15004,15004
18,28,15006,15006
26,28,15007,15007
26,10,15007,15007
22,33,15008,15008
26,38,15010,15010
5,29,15013,15013
26,38,15016,15016
10,3,15017,15017
7,31,15023,15023
0,38,15023,15023
