alarm_id,device_id,start_timestamp,end_timestamp
22,28,927,927
14,26,1374,1374
10,2,1377,1377
15,10,1496,1496
22,21,1576,1576
12,34,1578,1578
24,34,1595,1595
5,36,1596,1596
12,21,1601,1601
21,17,1601,1601
21,34,1608,1608
7,39,1615,1615
29,21,1615,1615
10,3,1616,1616
25,2,1838,1838
17,26,1839,1839
0,37,2027,2027
18,31,2409,2409
7,15,2471,2471
19,20,2730,2730
20,2,2735,2735
27,4,2998,2998
10,21,3047,3047
20,16,3050,3050
5,2,3058,3058
8,4,3322,3322
15,2,3633,3633
7,0,3634,3634
26,20,3638,3638
13,28,3640,3640
15,33,3829,3829
21,25,3831,3831
13,33,3838,3838
19,39,4000,4000
6,23,4001,4001
29,21,4003,4003
24,36,4003,4003
6,20,4006,4006
20,38,4009,4009
20,31,4009,4009
3,30,4010,4010
1,31,4011,4011
24,22,4011,4011
0,33,4012,4012
22,39,4013,4013
12,38,4013,4013
12,31,4013,4013
16,30,4014,4014
24,17,4015,4015
29,39,4015,4015
20,13,4016,4016
16,31,4017,4017
12,39,4019,4019
7,4,4020,4020
0,8,4025,4025
24,31,4025,4025
20,36,4026,4026
22,17,4028,4028
21,7,4028,4028
16,31,4031,4031
0,23,4034,4034
24,23,4039,4039
22,39,4039,4039
13,29,4049,4049
21,36,4050,4050
5,22,4051,4051
0,18,4054,4054
0,13,4056,4056
0,29,4061,4061
29,22,4071,4071
5,32,4073,4073
0,32,4334,4334
0,37,4805,4805
18,37,4915,4915
2,12,5052,5052
1,17,5054,5054
3,20,5054,5054
0,21,5056,5056
29,33,5067,5067
3,34,5070,5070
16,17,5074,5074
20,30,5075,5075
13,17,5077,5077
0,33,5078,5078
5,16,5080,5080
7,34,5082,5082
26,17,5093,5093
0,30,5099,5099
21,20,5101,5101
0,14,5102,5102
0,12,5106,5106
7,20,5111,5111
7,4,5122,5122
13,9,5126,5126
11,21,5217,5217
2,21,5224,5224
7,3,5227,5227
0,10,5227,5227
17,36,5232,5232
16,35,5233,5233
16,36,5235,5235
20,39,5238,5238
21,35,5238,5238
1,35,5243,5243
21,17,5243,5243
8,35,5244,5244
20,17,5245,5245
26,36,5245,5245
16,22,5644,5644
13,30,5645,5645
26,30,5651,5651
20,33,5655,5655
17,3,6447,6447
5,16,6448,6448
23,28,6853,6853
10,28,6856,6856
3,37,7167,7167
0,15,7171,7171
16,37,7173,7173
24,10,8276,8276
10,21,8280,8280
10,34,8618,8618
10,18,8759,8759
2,5,8772,8772
1,23,9694,9694
5,8,9818,9818
0,38,9840,9840
0,23,9842,9842
25,15,10054,10054
9,2,10405,10405
15,26,10406,10406
17,32,10410,10410
13,16,10411,10411
10,2,10413,10413
24,26,10413,10413
3,12,10414,10414
10,31,10416,10416
2,2,10417,10417
21,14,10419,10419
20,23,10419,10419
27,35,10744,10744
29,18,10822,10822
10,36,10823,10823
10,22,10824,10824
16,5,11254,11254
21,28,11256,11256
7,35,11256,11256
13,28,11258,11258
11,3,11582,11582
28,23,12076,12076
24,39,12077,12077
20,39,12081,12081
2,38,12086,12086
22,38,12333,12333
24,9,12333,12333
9,11,12603,12603
25,17,12830,12830
13,14,12955,12955
5,4,13042,13042
19,1,13042,13042
27,13,13167,13167
6,38,13205,13205
27,15,13270,13270
0,8,13446,13446
1,5,13449,13449
19,0,13793,13793
24,20,13795,13795
20,20,13801,13801
3,28,13803,13803
7,28,13808,13808
17,8,13817,13817
1,23,14401,14401
2,20,14921,14921
21,39,14924,14924
6,29,14926,14926
16,13,14926,14926
0,15,14927,14927
13,13,14927,14927
22,33,14927,14927
3,15,14928,14928
0,15,14929,14929
16,29,14930,14930
20,17,14930,14930
17,29,14932,14932
16,33,14935,14935
12,9,14935,14935
20,20,14937,14937
21,15,14938,14938
7,4,14942,14942
18,5,14973,14973
11,5,14983,14983
7,28,14985,14985
22,36,15126,15126
1,6,15443,15443
11,26,15999,15999
4,3,16000,16000
3,9,16001,16001
16,18,16002,16002
21,36,16004,16004
5,29,16014,16014
7,26,16015,16015
27,12,16162,16162
3,38,16169,16169
12,12,16171,16171
20,16,16175,16175
20,6,16175,16175
2,7,16175,16175
25,17,16175,16175
25,38,16178,16178
11,19,16179,16179
19,27,16180,16180
0,21,16180,16180
13,17,16181,16181
21,34,16181,16181
13,8,16182,16182
8,19,16183,16183
13,21,16183,16183
26,35,16184,16184
16,38,16185,16185
1,38,16185,16185
21,9,16186,16186
0,39,16186,16186
17,17,16186,16186
5,19,16186,16186
26,29,16187,16187
17,34,16187,16187
20,26,16189,16189
10,18,16189,16189
20,20,16189,16189
0,17,16190,16190
5,16,16193,16193
12,8,16193,16193
22,21,16198,16198
22,10,16327,16327
5,21,16328,16328
1,7,16505,16505
6,6,16569,16569
1,8,16723,16723
